titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 2,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,$150.00,$100.00,"['http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/05.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/01.jpg']"
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/img/products/05.jpg']"
