titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
Product 2,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,$,$,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/01.jpg",200
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: ,,$,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200
