titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
Product 3,4,Lorem ipsum dolor sit amet for Product 3,364171,150.00,100.00,"http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/05.jpg",200,111
Product 175,4,Lorem ipsum dolor sit amet for Product 175,425258,150.00,100.00,"http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg",200,5
Product 173,4,Lorem ipsum dolor sit amet for Product 173,483852,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200,60
Product 27,4,Lorem ipsum dolor sit amet for Product 27,359567,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg",200,4
Product 25,4,Lorem ipsum dolor sit amet for Product 25,347727,150.00,100.00,"http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg",200,55
Product 15,4,Lorem ipsum dolor sit amet for Product 15,532494,150.00,100.00,"http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/02.jpg",200,197
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg",200,259
Product 13,4,Lorem ipsum dolor sit amet for Product 13,851408,150.00,100.00,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200,281
Product 12,4,Lorem ipsum dolor sit amet for Product 12,891606,150.00,100.00,"http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/02.jpg",200,292
Product 11,4,Lorem ipsum dolor sit amet for Product 11,814413,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg",200,301
Product 162,4,Lorem ipsum dolor sit amet for Product 162,571055,150.00,100.00,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg",200,12
Product 45,4,Lorem ipsum dolor sit amet for Product 45,286172,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg",200,10
Product 41,4,Lorem ipsum dolor sit amet for Product 41,557487,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/04.jpg",200,98
Product 38,4,Lorem ipsum dolor sit amet for Product 38,815847,150.00,100.00,"http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg",200,133
Product 40,4,Lorem ipsum dolor sit amet for Product 40,382004,150.00,100.00,"http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/02.jpg",200,157
Product 39,4,Lorem ipsum dolor sit amet for Product 39,481219,150.00,100.00,"http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/02.jpg",200,167
Product 34,4,Lorem ipsum dolor sit amet for Product 34,232222,150.00,100.00,"http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/01.jpg",200,233
Product 32,4,Lorem ipsum dolor sit amet for Product 32,461059,150.00,100.00,"http://localhost:3000/img/products/02.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/03.jpg,http://localhost:3000/img/products/05.jpg",200,328
Product 143,4,Lorem ipsum dolor sit amet for Product 143,732869,150.00,100.00,"http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/02.jpg",200,21
Product 53,4,Lorem ipsum dolor sit amet for Product 53,689528,150.00,100.00,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/02.jpg",200,53
Product 52,4,Lorem ipsum dolor sit amet for Product 52,976649,150.00,100.00,"http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/03.jpg",200,65
Product 49,4,Lorem ipsum dolor sit amet for Product 49,401204,150.00,100.00,"http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/01.jpg",200,130
Product 46,4,Lorem ipsum dolor sit amet for Product 46,375976,150.00,100.00,"http://localhost:3000/img/products/04.jpg,http://localhost:3000/img/products/01.jpg,http://localhost:3000/img/products/05.jpg,http://localhost:3000/img/products/02.jpg",200,156
