titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2486565113067627
Product 2,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,$150.00,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/01.jpg']",1.5298895835876465
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2425074577331543
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2446651458740234
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2497544288635254
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2637104988098145
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2514359951019287
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2494268417358398
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.278327465057373
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.23795485496521
