titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg']",1016,200,1003
Product 2,4,Lorem ipsum dolor sit amet for Product 2,140498,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",1007,200,995
Product 3,4,Lorem ipsum dolor sit amet for Product 3,364171,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg']",1048,200,1038
Product 4,4,Lorem ipsum dolor sit amet for Product 4,949962,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",1031,200,1016
Product 5,4,Lorem ipsum dolor sit amet for Product 5,829538,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",1117,200,1103
Product 6,4,Lorem ipsum dolor sit amet for Product 6,382860,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg']",1013,200,1004
Product 7,4,Lorem ipsum dolor sit amet for Product 7,168256,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg']",995,200,982
Product 8,4,Lorem ipsum dolor sit amet for Product 8,376260,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",996,200,981
Product 9,4,Lorem ipsum dolor sit amet for Product 9,261993,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1019,200,1003
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg']",1032,200,1014
Product 11,4,Lorem ipsum dolor sit amet for Product 11,814413,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg']",1027,200,1011
Product 12,4,Lorem ipsum dolor sit amet for Product 12,891606,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",993,200,976
Product 13,4,Lorem ipsum dolor sit amet for Product 13,851408,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg']",1011,200,988
Product 14,4,Lorem ipsum dolor sit amet for Product 14,414995,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1047,200,1033
Product 15,4,Lorem ipsum dolor sit amet for Product 15,532494,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",992,200,980
Product 16,4,Lorem ipsum dolor sit amet for Product 16,393415,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",1030,200,1019
Product 17,4,Lorem ipsum dolor sit amet for Product 17,206562,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1029,200,1019
Product 18,4,Lorem ipsum dolor sit amet for Product 18,256724,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",1064,200,1051
Product 19,4,Lorem ipsum dolor sit amet for Product 19,255242,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg']",1056,200,1046
Product 20,4,Lorem ipsum dolor sit amet for Product 20,349159,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",1283,200,1274
Product 21,4,Lorem ipsum dolor sit amet for Product 21,971943,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",985,200,974
Product 22,4,Lorem ipsum dolor sit amet for Product 22,942963,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1016,200,1001
Product 23,4,Lorem ipsum dolor sit amet for Product 23,165356,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1009,200,1000
Product 24,4,Lorem ipsum dolor sit amet for Product 24,792489,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1066,200,1051
Product 25,4,Lorem ipsum dolor sit amet for Product 25,347727,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",1113,200,1100
Product 26,4,Lorem ipsum dolor sit amet for Product 26,988437,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",1083,200,1069
Product 27,4,Lorem ipsum dolor sit amet for Product 27,359567,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg']",1005,200,994
Product 28,4,Lorem ipsum dolor sit amet for Product 28,170397,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg']",1048,200,1040
Product 29,4,Lorem ipsum dolor sit amet for Product 29,170801,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/04.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg']",1011,200,993
Product 30,4,Lorem ipsum dolor sit amet for Product 30,971808,$150.00,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg', 'http://localhost:3001/http://localhost:3001/img/products/03.jpg']",1060,200,1046
Product 31,4,Lorem ipsum dolor sit amet for Product 31,359893,,$100.00,"['http://localhost:3001/http://localhost:3001/img/products/01.jpg', 'http://localhost:3001/http://localhost:3001/img/products/02.jpg', 'http://localhost:3001/http://localhost:3001/img/products/05.jpg']",999,200,988
