titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg']",3367,200,3342
Product 2,3,Lorem ipsum dolor sit amet for Product 2,140498,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg']",1069,200,1054
Product 3,3,Lorem ipsum dolor sit amet for Product 3,364171,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg']",1040,200,1027
Product 4,5,Lorem ipsum dolor sit amet for Product 4,949962,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg']",1118,200,1106
Product 5,3,Lorem ipsum dolor sit amet for Product 5,829538,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg']",1071,200,1058
Product 6,1,Lorem ipsum dolor sit amet for Product 6,382860,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg']",1033,200,1021
Product 7,2,Lorem ipsum dolor sit amet for Product 7,168256,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg']",1042,200,1027
Product 8,1,Lorem ipsum dolor sit amet for Product 8,376260,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg']",1006,200,994
Product 9,1,Lorem ipsum dolor sit amet for Product 9,261993,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg']",1053,200,1038
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg']",1021,200,1004
Product 11,2,Lorem ipsum dolor sit amet for Product 11,814413,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg']",1036,200,1024
Product 12,2,Lorem ipsum dolor sit amet for Product 12,891606,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg']",1042,200,1027
Product 13,4,Lorem ipsum dolor sit amet for Product 13,851408,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/05.jpg']",1020,200,1006
Product 14,3,Lorem ipsum dolor sit amet for Product 14,414995,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg']",1003,200,988
Product 15,3,Lorem ipsum dolor sit amet for Product 15,532494,$150.00,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg']",1048,200,1036
Product 16,5,Lorem ipsum dolor sit amet for Product 16,393415,,$100.00,"['http://localhost:3002/http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/http://localhost:3002/img/products/02.jpg']",1032,200,1016
