titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code,request_time
,5,,,,,[],5430,200,371
Product 2,3,Lorem ipsum dolor sit amet for Product 2,140498,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg']",2035,200,2029
Product 3,3,Lorem ipsum dolor sit amet for Product 3,364171,$150.00,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1126,200,1120
,5,,,,,[],5158,200,104
Product 5,3,Lorem ipsum dolor sit amet for Product 5,829538,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg']",1362,200,1356
Product 6,1,Lorem ipsum dolor sit amet for Product 6,382860,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1085,200,1080
,5,,,,,[],5153,200,103
Product 8,1,Lorem ipsum dolor sit amet for Product 8,376260,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg']",1344,200,1340
Product 9,1,Lorem ipsum dolor sit amet for Product 9,261993,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg']",1150,200,1145
,5,,,,,[],5149,200,99
