titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg']",1355,200,1349
Product 2,4,Lorem ipsum dolor sit amet for Product 2,140498,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg']",1066,200,1061
,5,,,,,[],5150,200,102
Product 4,4,Lorem ipsum dolor sit amet for Product 4,949962,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg']",1322,200,1317
Product 5,4,Lorem ipsum dolor sit amet for Product 5,829538,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg']",1080,200,1075
,5,,,,,[],5156,200,105
Product 7,4,Lorem ipsum dolor sit amet for Product 7,168256,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg']",1358,200,1352
Product 8,4,Lorem ipsum dolor sit amet for Product 8,376260,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg']",1063,200,1058
,5,,,,,[],5139,200,85
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,$150.00,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg']",1342,200,1337
Product 11,4,Lorem ipsum dolor sit amet for Product 11,814413,$150.00,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg']",1085,200,1079
,5,,,,,[],5151,429,99
,5,,,,,[],5368,200,315
Product 14,4,Lorem ipsum dolor sit amet for Product 14,414995,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg']",1334,200,1329
Product 15,4,Lorem ipsum dolor sit amet for Product 15,532494,$150.00,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg']",1071,200,1067
,5,,,,,[],5156,200,104
