titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
,5,,,,,[],200,2033
,5,,,,,[],200,2038
,5,,,,,[],200,2036
,5,,,,,[],200,2037
,5,,,,,[],200,2035
,5,,,,,[],200,2041
,5,,,,,[],200,2033
,5,,,,,[],200,2048
,5,,,,,[],200,2057
,5,,,,,[],200,2040
,5,,,,,[],200,2099
,5,,,,,[],200,2067
,5,,,,,[],200,2036
,5,,,,,[],200,2041
,5,,,,,[],200,2049
,5,,,,,[],200,2048
,5,,,,,[],200,2039
,5,,,,,[],200,2038
,5,,,,,[],200,2036
,5,,,,,[],200,2050
,5,,,,,[],200,2039
,5,,,,,[],200,2089
,5,,,,,[],200,2028
,5,,,,,[],200,2038
,5,,,,,[],200,2045
,5,,,,,[],200,2069
,5,,,,,[],200,2043
,5,,,,,[],200,2032
,5,,,,,[],200,2079
,5,,,,,[],200,2032
,5,,,,,[],200,2050
,5,,,,,[],200,2037
,5,,,,,[],200,2038
,5,,,,,[],200,2048
,5,,,,,[],200,2062
,5,,,,,[],200,2039
,5,,,,,[],200,2042
,5,,,,,[],200,2040
,5,,,,,[],200,2056
,5,,,,,[],200,2037
,5,,,,,[],200,2030
,5,,,,,[],200,2073
,5,,,,,[],200,2047
,5,,,,,[],200,2045
,5,,,,,[],200,2053
,5,,,,,[],200,2112
,5,,,,,[],200,2067
,5,,,,,[],200,2039
,5,,,,,[],200,2036
,5,,,,,[],200,2045
,5,,,,,[],200,2044
,5,,,,,[],200,2032
,5,,,,,[],200,2052
,5,,,,,[],200,2041
,5,,,,,[],200,2039
,5,,,,,[],200,2036
,5,,,,,[],200,2071
,5,,,,,[],200,2039
,5,,,,,[],200,2035
,5,,,,,[],200,2071
,5,,,,,[],200,2033
,5,,,,,[],200,2045
,5,,,,,[],200,2034
,5,,,,,[],200,2034
,5,,,,,[],200,2032
,5,,,,,[],200,2033
,5,,,,,[],200,2033
,5,,,,,[],200,2036
,5,,,,,[],200,2038
,5,,,,,[],200,2056
,5,,,,,[],200,2039
,5,,,,,[],200,2038
,5,,,,,[],200,2062
,5,,,,,[],200,2034
,5,,,,,[],200,2032
