titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
,,,,,,,200,9
,,,,,,,200,17
,,,,,,,200,5
,,,,,,,200,10
,,,,,,,200,34
,,,,,,,200,37
,,,,,,,200,40
,,,,,,,200,47
,,,,,,,200,49
,,,,,,,200,10
,,,,,,,200,24
,,,,,,,200,33
,,,,,,,200,3
,,,,,,,200,10
,,,,,,,200,36
,,,,,,,200,121
,,,,,,,200,124
,,,,,,,200,135
,,,,,,,200,139
,,,,,,,200,141
,,,,,,,200,144
,,,,,,,200,4
,,,,,,,200,17
,,,,,,,200,20
,,,,,,,200,69
,,,,,,,200,111
,,,,,,,200,113
,,,,,,,200,157
,,,,,,,200,160
,,,,,,,200,49
,,,,,,,200,52
,,,,,,,200,56
,,,,,,,200,74
,,,,,,,200,80
,,,,,,,200,96
,,,,,,,200,106
,,,,,,,200,115
,,,,,,,200,126
,,,,,,,200,129
,,,,,,,200,132
,,,,,,,200,141
,,,,,,,200,146
,,,,,,,200,216
,,,,,,,200,223
,,,,,,,200,233
,,,,,,,200,267
,,,,,,,200,279
,,,,,,,200,310
,,,,,,,200,316
,,,,,,,200,323
,,,,,,,200,334
,,,,,,,200,366
,,,,,,,200,371
,,,,,,,200,376
,,,,,,,200,385
,,,,,,,200,423
,,,,,,,200,430
,,,,,,,200,440
,,,,,,,200,445
,,,,,,,200,461
,,,,,,,200,491
,,,,,,,200,504
,,,,,,,200,507
,,,,,,,200,544
,,,,,,,200,554
,,,,,,,200,556
,,,,,,,200,561
,,,,,,,200,576
,,,,,,,200,585
,,,,,,,200,590
,,,,,,,200,593
,,,,,,,200,675
,,,,,,,200,696
,,,,,,,200,700
,,,,,,,200,708
